"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"29","Eric Staal","MIN","C","81","1468.15","22","30","17","13","52","60.47","215","10.23","22.92","350","278","208","109","14","23","34","17","17","0","0","15","39","49","41","63","28","642","615","51.07"
"275","Chris Kreider","NYR","L","79","1375.0666666667","28","24","11","13","52","53.61","201","13.93","24.28","323","279","213","136","16","21","57","23","21","1","1","6","52","31","159","82","49","27","45","37.50"
"388","Brendan Gallagher","MTL","R","82","1343.4","33","19","9","10","52","63.41","302","10.93","31.63","556","404","324","166","24","41","49","23","22","1","0","24","30","57","126","139","31","23","28","45.10"
"705","Alex Tuch","VGK","R","74","1237.7833333333","20","32","13","19","52","65.00","180","11.11","19.26","327","250","195","85","13","31","8","4","4","0","0","11","51","69","92","93","40","43","69","38.39"
"3","Joe Thornton","S.J","C","73","1135.0333333333","16","35","23","12","51","67.11","90","17.78","9.79","149","117","87","35","2","15","20","10","10","0","0","12","42","43","17","29","14","356","319","52.74"
"35","Dustin Brown","L.A","R","72","1469.2333333333","22","29","19","10","51","63.75","180","12.22","18.04","296","231","179","86","6","20","24","12","12","0","0","14","44","31","150","87","29","1","16","5.88"
"304","Anders Lee","NYI","L","82","1401.2","28","23","14","9","51","59.30","204","13.73","29.17","332","283","269","175","8","24","58","25","23","2","0","23","29","22","103","102","51","75","80","48.39"
"793","Dylan Strome","CHI","C","58","989.4","17","34","17","17","51","56.67","106","16.04","10.66","168","135","104","51","7","8","14","7","7","0","0","7","30","39","11","59","37","296","363","44.92"
"256","Kyle Palmieri","N.J","R","74","1343.4833333333","27","23","15","8","50","59.52","224","12.05","19.7","383","300","174","64","6","17","42","21","21","0","0","26","37","36","98","117","35","24","62","27.91"
"523","Jacob Trouba","WPG","D","82","1876","8","42","16","26","50","44.64","162","4.94","8.46","367","251","72","13","4","22","58","28","28","0","0","10","86","48","112","70","171","0","0","-"
"526","Filip Forsberg","NSH","L","64","1191.45","28","22","16","6","50","68.49","217","12.90","24.11","435","318","241","88","15","27","26","13","13","0","0","29","67","69","100","65","29","1","6","14.29"
"870","Patrik Laine","WPG","R","82","1413.1166666667","30","20","17","3","50","52.08","245","12.24","21.72","470","354","202","56","10","24","42","20","20","0","0","14","48","28","70","78","44","11","19","36.67"
"68","Carl Soderberg","COL","C","82","1430.8166666667","23","26","15","11","49","70.00","188","12.23","19.51","314","242","204","107","13","22","26","13","13","0","0","22","26","49","99","98","67","528","542","49.35"
"233","Gustav Nyquist","DET","C, R","62","1123.45","16","33","18","15","49","73.13","163","9.82","13.92","281","211","161","53","4","17","8","4","4","0","0","13","58","32","24","47","16","8","10","44.44"
"374","Mikael Granlund","MIN","C, R","63","1178.75","15","34","25","9","49","80.33","160","9.38","13.34","276","212","129","47","9","24","20","10","10","0","0","16","32","42","28","114","33","112","137","44.98"
"791","Travis Konecny","PHI","C, R","82","1251.0666666667","24","25","14","11","49","72.06","182","13.19","16.39","296","251","163","67","11","20","40","17","15","2","0","23","49","38","65","129","45","7","15","31.82"
"39","Ryan Getzlaf","ANA","C","67","1304","14","34","13","21","48","75.00","133","10.53","11.72","271","208","118","44","8","11","58","22","19","2","1","13","79","60","150","62","74","551","463","54.34"
"158","James van Riemsdyk","PHI","L","66","1095.8333333333","27","21","9","12","48","66.67","167","16.17","18.88","262","206","155","95","8","25","18","9","9","0","0","6","19","25","34","69","16","6","5","54.55"
"497","Yanni Gourde","T.B","C","80","1267.0666666667","22","26","16","10","48","62.34","130","16.92","15.83","209","170","134","73","6","21","66","19","13","4","2","24","40","50","83","133","30","151","132","53.36"
"542","Chris Tierney","OTT","C","81","1379.4833333333","9","39","23","16","48","65.75","116","7.76","12.1","189","148","110","53","12","15","26","9","8","0","1","13","61","53","30","74","54","531","512","50.91"
"662","Anthony Mantha","DET","R","67","1194.4166666667","25","23","15","8","48","69.57","198","12.63","16.61","335","254","167","63","11","16","30","12","10","2","0","16","60","37","67","51","23","22","28","44.00"
"746","Viktor Arvidsson","NSH","L, R","58","1110.45","34","14","7","7","48","63.16","196","17.35","18.98","337","273","188","87","16","19","26","13","13","0","0","27","37","41","18","81","23","2","15","11.76"
"31","Ryan Suter","MIN","D","82","2188.75","7","40","15","25","47","42.34","136","5.15","6.83","318","209","69","16","5","24","41","19","18","1","0","9","30","25","78","44","109","1","0","100.00"
"179","Mikael Backlund","CGY","C","77","1377.6833333333","21","26","19","7","47","59.49","205","10.24","21.71","340","268","204","88","11","21","52","24","24","0","0","11","55","78","52","68","26","511","520","49.56"
